Autorización,Fecha operación,,Tipo,Movimiento,Importe,Estatus,Ref. 1,Detalle
54386153,30/05/2022 15:15:29,2022-05-30 15:15:29,PAGOS,PAGOS,$4.89,APLICADO,PAGO DE: WALTER R,"Principal: 0.00000 Interes: 3.58079 Impuesto Interes:  0.57293 Moratorios: 0.63103  Impuesto Moratorios: 0.10096 IVA Comisión Moratorios:  0.00101"
54353030,30/05/2022 09:27:52,2022-05-30 09:27:52,PAGOS,PAGOS,$2.00,APLICADO,PAGO DE: GMORIN,"Principal: 0.00000 Interes: 0.00000 Impuesto Interes:  0.00000 Moratorios: 1.72414  Impuesto Moratorios: 0.27586 IVA Comisión Moratorios:  0.00276"
54297725,26/05/2022 09:22:57,2022-05-26 09:22:57,PAGOS,PAGOS,$9.10,APLICADO,PAGO DE: ZOOEY,"Principal: 7.01671 Interes: 1.79457 Impuesto Interes:  0.28713 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
54162916,23/05/2022 14:30:25,2022-05-23 14:30:25,PAGOS,PAGOS,$5.14,APLICADO,PAGO DE: WALTER R,"Principal: 0.00000 Interes: 4.43350 Impuesto Interes:  0.70936 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
53971043,17/05/2022 12:15:40,2022-05-17 12:15:40,PAGOS,PAGOS,$4.53,APLICADO,PAGO DE: WALTER R,"Principal: 0.00000 Interes: 3.90480 Impuesto Interes:  0.62477 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
53947133,17/05/2022 09:38:26,2022-05-17 09:38:26,PAGOS,PAGOS,$54.75,APLICADO,PAGO DE: SARGI,"Principal: 33.89003 Interes: 17.97920 Impuesto Interes:  2.87667 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
53866345,14/05/2022 13:15:27,2022-05-14 13:15:27,PAGOS,PAGOS,$6.18,APLICADO,PAGO DE: WALTER R,"Principal: 6.16500 Interes: 0.00000 Impuesto Interes:  0.00000 Moratorios: 0.01697  Impuesto Moratorios: 0.00272 IVA Comisión Moratorios:  0.00003"
53752622,11/05/2022 11:15:30,2022-05-11 11:15:30,PAGOS,PAGOS,$20.57,APLICADO,PAGO DE: WALTER R,"Principal: 20.37446 Interes: 0.00000 Impuesto Interes:  0.00000 Moratorios: 0.16980  Impuesto Moratorios: 0.02717 IVA Comisión Moratorios:  0.00027"
53554920,05/05/2022 09:45:15,2022-05-05 09:45:15,PAGOS,PAGOS,$11.09,APLICADO,PAGO DE: GRETTEL35,"Principal: 5.27779 Interes: 5.01479 Impuesto Interes:  0.80237 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
53524158,04/05/2022 13:30:58,2022-05-04 13:30:58,PAGOS,PAGOS,$15.86,APLICADO,PAGO DE: WALTER R,"Principal: 10.26737 Interes: 4.62934 Impuesto Interes:  0.74069 Moratorios: 0.18943  Impuesto Moratorios: 0.03031 IVA Comisión Moratorios:  0.00030"
53507852,04/05/2022 10:37:03,2022-05-04 10:37:03,PAGOS,PAGOS,$9.10,APLICADO,PAGO DE: SMRV76,"Principal: 6.91030 Interes: 1.88631 Impuesto Interes:  0.30181 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
53442651,03/05/2022 12:56:54,2022-05-03 12:56:54,PAGOS,PAGOS,$25.34,APLICADO,PAGO DE: LUIS MIGUEL PéREZ BAéZ,"Principal: 19.25057 Interes: 5.25000 Impuesto Interes:  0.84000 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
53428935,03/05/2022 12:51:06,2022-05-03 12:51:06,PAGOS,PAGOS,$28.86,APLICADO,PAGO DE: ESTEBAN MENDEZ,"Principal: 24.46746 Interes: 3.78654 Impuesto Interes:  0.60585 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
53391739,02/05/2022 09:21:18,2022-05-02 09:21:18,PAGOS,PAGOS,$12.96,APLICADO,PAGO DE: JESUSALVAREZ,"Principal: 9.87695 Interes: 2.66177 Impuesto Interes:  0.42588 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
53361872,29/04/2022 23:15:26,2022-04-29 23:15:26,PAGOS,PAGOS,$13.67,APLICADO,PAGO DE: WALTER R,"Principal: 0.00000 Interes: 11.64020 Impuesto Interes:  1.86243 Moratorios: 0.14554  Impuesto Moratorios: 0.02329 IVA Comisión Moratorios:  0.00023"
53319377,29/04/2022 10:07:41,2022-04-29 10:07:41,PAGOS,PAGOS,$2.00,APLICADO,PAGO DE: GMORIN,"Principal: 0.00000 Interes: 0.00000 Impuesto Interes:  0.00000 Moratorios: 1.72414  Impuesto Moratorios: 0.27586 IVA Comisión Moratorios:  0.00276"
53291099,28/04/2022 15:15:10,2022-04-28 15:15:10,PAGOS,PAGOS,$24.37,APLICADO,PAGO DE: GLACE,"Principal: 23.77733 Interes: 0.51242 Impuesto Interes:  0.08199 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
53243735,27/04/2022 09:29:02,2022-04-27 09:29:02,PAGOS,PAGOS,$42.45,APLICADO,PAGO DE: CACH_INDOMITUS,"Principal: 41.41615 Interes: 0.89258 Impuesto Interes:  0.14281 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
53241832,27/04/2022 09:28:24,2022-04-27 09:28:24,PAGOS,PAGOS,$9.10,APLICADO,PAGO DE: ZOOEY,"Principal: 6.91030 Interes: 1.88631 Impuesto Interes:  0.30181 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
53191472,26/04/2022 15:30:33,2022-04-26 15:30:33,PAGOS,PAGOS,$1.97,APLICADO,PAGO DE: WALTER R,"Principal: 0.00000 Interes: 1.20341 Impuesto Interes:  0.19255 Moratorios: 0.49611  Impuesto Moratorios: 0.07938 IVA Comisión Moratorios:  0.00079"
53047521,20/04/2022 17:37:20,2022-04-20 17:37:20,PAGOS,PAGOS,$0.02,APLICADO,PAGO DE: ARQYORCH,"Principal: 0.01683 Interes: 0.00000 Impuesto Interes:  0.00000 Moratorios: 0.00003  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
52934455,19/04/2022 18:07:16,2022-04-19 18:07:16,PAGOS,PAGOS,$14.61,APLICADO,PAGO DE: ARQYORCH,"Principal: 13.26970 Interes: 0.98570 Impuesto Interes:  0.15771 Moratorios: 0.16965  Impuesto Moratorios: 0.02714 IVA Comisión Moratorios:  0.00027"
52932268,19/04/2022 15:15:28,2022-04-19 15:15:28,PAGOS,PAGOS,$3.78,APLICADO,PAGO DE: WALTER R,"Principal: 0.00000 Interes: 3.25589 Impuesto Interes:  0.52094 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
52903286,19/04/2022 09:18:16,2022-04-19 09:18:16,PAGOS,PAGOS,$54.75,APLICADO,PAGO DE: SARGI,"Principal: 33.12483 Interes: 18.63887 Impuesto Interes:  2.98222 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
52618055,10/04/2022 11:00:31,2022-04-10 11:00:31,PAGOS,PAGOS,$13.62,APLICADO,PAGO DE: WALTER R,"Principal: 13.55160 Interes: 0.00000 Impuesto Interes:  0.00000 Moratorios: 0.06171  Impuesto Moratorios: 0.00987 IVA Comisión Moratorios:  0.00010"
52576428,07/04/2022 13:18:30,2022-04-07 13:18:30,PAGOS,PAGOS,$24.37,APLICADO,PAGO DE: GLACE,"Principal: 23.19742 Interes: 1.01242 Impuesto Interes:  0.16199 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
52519788,06/04/2022 10:05:53,2022-04-06 10:05:53,PAGOS,PAGOS,$11.09,APLICADO,PAGO DE: GRETTEL35,"Principal: 5.13454 Interes: 5.13829 Impuesto Interes:  0.82213 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
52472795,05/04/2022 10:30:32,2022-04-05 10:30:32,PAGOS,PAGOS,$12.86,APLICADO,PAGO DE: WALTER R,"Principal: 12.74580 Interes: 0.00000 Impuesto Interes:  0.00000 Moratorios: 0.09600  Impuesto Moratorios: 0.01536 IVA Comisión Moratorios:  0.00015"
52453106,05/04/2022 09:39:52,2022-04-05 09:39:52,PAGOS,PAGOS,$9.10,APLICADO,PAGO DE: SMRV76,"Principal: 6.80550 Interes: 1.97665 Impuesto Interes:  0.31626 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
52434513,05/04/2022 09:34:04,2022-04-05 09:34:04,PAGOS,PAGOS,$25.34,APLICADO,PAGO DE: LUIS MIGUEL PéREZ BAéZ,"Principal: 18.94180 Interes: 5.51615 Impuesto Interes:  0.88258 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
52381724,01/04/2022 16:30:30,2022-04-01 16:30:30,PAGOS,PAGOS,$17.14,APLICADO,PAGO DE: WALTER R,"Principal: 9.71357 Interes: 6.24994 Impuesto Interes:  0.99999 Moratorios: 0.15463  Impuesto Moratorios: 0.02474 IVA Comisión Moratorios:  0.00025"
52315124,31/03/2022 06:52:37,2022-03-31 06:52:37,PAGOS,PAGOS,$28.86,APLICADO,PAGO DE: ESTEBAN MENDEZ,"Principal: 23.80334 Interes: 4.35906 Impuesto Interes:  0.69745 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
52306630,31/03/2022 06:28:23,2022-03-31 06:28:23,PAGOS,PAGOS,$2.00,APLICADO,PAGO DE: GMORIN,"Principal: 0.00000 Interes: 0.00000 Impuesto Interes:  0.00000 Moratorios: 1.72414  Impuesto Moratorios: 0.27586 IVA Comisión Moratorios:  0.00276"
52269890,30/03/2022 10:43:55,2022-03-30 10:43:55,PAGOS,PAGOS,$12.96,APLICADO,PAGO DE: JESUSALVAREZ,"Principal: 9.69945 Interes: 2.81479 Impuesto Interes:  0.45037 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
52199276,29/03/2022 11:14:45,2022-03-29 11:14:45,PAGOS,PAGOS,$42.45,APLICADO,PAGO DE: CACH_INDOMITUS,"Principal: 40.40601 Interes: 1.76343 Impuesto Interes:  0.28215 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
52155093,28/03/2022 09:36:13,2022-03-28 09:36:13,PAGOS,PAGOS,$9.10,APLICADO,PAGO DE: ZOOEY,"Principal: 6.80549 Interes: 1.97665 Impuesto Interes:  0.31626 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
52147103,28/03/2022 09:30:32,2022-03-28 09:30:32,PAGOS,PAGOS,$4.46,APLICADO,PAGO DE: WALTER R,"Principal: 0.00000 Interes: 3.34230 Impuesto Interes:  0.53477 Moratorios: 0.50006  Impuesto Moratorios: 0.08001 IVA Comisión Moratorios:  0.00080"
51944024,22/03/2022 15:00:42,2022-03-22 15:00:42,PAGOS,PAGOS,$5.14,APLICADO,PAGO DE: WALTER R,"Principal: 0.00000 Interes: 4.43350 Impuesto Interes:  0.70936 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
51860915,17/03/2022 16:21:43,2022-03-17 16:21:43,PAGOS,PAGOS,$14.46,APLICADO,PAGO DE: ARQYORCH,"Principal: 12.92590 Interes: 1.18108 Impuesto Interes:  0.18897 Moratorios: 0.13720  Impuesto Moratorios: 0.02195 IVA Comisión Moratorios:  0.00022"
51859060,17/03/2022 14:45:30,2022-03-17 14:45:30,PAGOS,PAGOS,$8.57,APLICADO,PAGO DE: WALTER R,"Principal: 0.00000 Interes: 7.38916 Impuesto Interes:  1.18227 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
